what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1439714177063
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1439714177063
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1439714177063
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1439714177063
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1439714177063
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1439714177063
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1439714177063
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1439714177063
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1439714177063
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1439714177063
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1439714177063
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1439714177063
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1439714177063
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1439714177063
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1439714177063
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1439714177063
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1439714177063
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1439714177063
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1439714177063
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1439714177063
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1439714177063
started,bundle,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef",1439714177063
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1439714177063
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1439714177079
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1439714177079
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1439714177079
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1439714177079
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1439714177079
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1439714177079
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1439714177079
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.403.v201012020600,"org.eclipse.jst.j2ee.navigator.ui",1439714177079
started,bundle,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.ui",1439714177079
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1439714177079
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1439714177079
started,bundle,org.eclipse.jst.jee.ui,1.0.304.v201101272100,"org.eclipse.jst.jee.ui",1439714177079
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1439714177079
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1439714177079
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1439714177079
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1439714177079
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1439714177079
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1439714177079
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1439714177079
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1439714177079
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1439714177079
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1439714177079
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1439714177079
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1439714177079
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1439714177079
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1439714177079
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1439714177079
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1439714177094
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1439714177094
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1439714177094
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1439714177094
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1439714177110
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1439714177110
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1439714177110
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1439714177110
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1439714177110
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1439714177110
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1439714177110
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1439714177110
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1439714177110
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1439714177110
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1439714177110
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1439714177110
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1439714177110
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1439714177110
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1439714177110
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1439714177110
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1439714177110
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1439714177110
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1439714177110
started,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1439714177110
started,bundle,org.eclipse.xsd,2.6.0.v20100914-1218,"org.eclipse.xsd",1439714177110
started,bundle,FragmentoRCP,1.0.3.201508152215,"FragmentoRCP",1439714177110
started,bundle,de.unistuttgart.iaas.abstractConstructs.staticFragmento.model,1.0.0.201508152215,"de.unistuttgart.iaas.abstractConstructs.staticFragmento.model",1439714177110
started,bundle,de.unistuttgart.iaas.abstractConstructs.staticFragmento.ui,1.0.0.201508152215,"de.unistuttgart.iaas.abstractConstructs.staticFragmento.ui",1439714177110
started,bundle,de.unistuttgart.iaas.bpel.extensions.model,1.0.0.201508152215,"de.unistuttgart.iaas.bpel.extensions.model",1439714177110
started,bundle,de.unistuttgart.iaas.bpel.extensions.ui,1.0.0.201508152215,"de.unistuttgart.iaas.bpel.extensions.ui",1439714177110
started,bundle,org.eclipse.bpel.common.model,0.8.0.201508152215,"org.eclipse.bpel.common.model",1439714177110
started,bundle,org.eclipse.bpel.common.ui,0.8.0.201508152215,"org.eclipse.bpel.common.ui",1439714177110
started,bundle,org.eclipse.bpel.debug,1.0.0.201508152215,"org.eclipse.bpel.debug",1439714177110
started,bundle,org.eclipse.bpel.model,0.8.0.201508152215,"org.eclipse.bpel.model",1439714177110
started,bundle,org.eclipse.bpel.model.logging,1.0.0.201508152215,"org.eclipse.bpel.model.logging",1439714177110
started,bundle,org.eclipse.bpel.runtimes,0.8.0.201508152215,"org.eclipse.bpel.runtimes",1439714177110
started,bundle,org.eclipse.bpel.simpl.model,0.1.2.201508152215,"org.eclipse.bpel.simpl.model",1439714177110
started,bundle,org.eclipse.bpel.simpl.ui,0.1.4.201508152215,"org.eclipse.bpel.simpl.ui",1439714177110
started,bundle,org.eclipse.bpel.simtech.extensions.model,0.0.1.201508152215,"org.eclipse.bpel.simtech.extensions.model",1439714177110
started,bundle,org.eclipse.bpel.simtech.extensions.ui,0.0.1.201508152215,"org.eclipse.bpel.simtech.extensions.ui",1439714177110
started,bundle,org.eclipse.bpel.ui,0.8.0.201508152215,"org.eclipse.bpel.ui",1439714177126
started,bundle,org.eclipse.bpel.wsil.model,0.8.0.201508152215,"org.eclipse.bpel.wsil.model",1439714177126
started,bundle,org.eclipse.jem,2.0.402.v201106132000,"org.eclipse.jem",1439714177126
started,bundle,org.eclipse.jem.workbench,2.0.301.v201104271300,"org.eclipse.jem.workbench",1439714177126
started,bundle,org.eclipse.jst.j2ee,1.1.406.v201110130300,"org.eclipse.jst.j2ee",1439714177126
started,bundle,org.eclipse.jst.j2ee.core,1.2.7.v201110060300,"org.eclipse.jst.j2ee.core",1439714177126
started,bundle,org.eclipse.jst.jsp.core,1.2.308.v201109202150,"org.eclipse.jst.jsp.core",1439714177126
started,bundle,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.ui",1439714177126
started,bundle,org.eclipse.simpl.communication,0.1.0.201508152215,"org.eclipse.simpl.communication",1439714177126
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.4.v201106210700,"org.eclipse.wst.common.emfworkbench.integration",1439714177126
started,bundle,org.eclipse.wst.common.frameworks,1.2.1.v201107271600,"org.eclipse.wst.common.frameworks",1439714177126
started,bundle,org.eclipse.wst.common.modulecore,1.2.7.v201110060300,"org.eclipse.wst.common.modulecore",1439714177126
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1439714177126
started,bundle,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui",1439714177126
started,bundle,org.eclipse.wst.validation,1.2.204.v201109220700,"org.eclipse.wst.validation",1439714177126
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1439714177126
started,bundle,org.eclipse.wst.wsdl,1.2.105.v201108291616,"org.eclipse.wst.wsdl",1439714177126
started,bundle,org.eclipse.wst.xml.core,1.1.505.v201109271810,"org.eclipse.wst.xml.core",1439714177126
started,bundle,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui",1439714177126
started,bundle,org.eclipse.wst.xsd.ui,1.2.305.v201104132127,"org.eclipse.wst.xsd.ui",1439714177126
os,sysinfo,,,"win32",1439714177126
arch,sysinfo,,,"x86",1439714177126
ws,sysinfo,,,"win32",1439714177126
locale,sysinfo,,,"de_DE",1439714177126
processors,sysinfo,,,"4",1439714177126
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1439714177126
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1439714177126
java.specification.name,sysinfo,,,"Java Platform API Specification",1439714177126
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1439714177126
java.specification.version,sysinfo,,,"1.6",1439714177126
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1439714177126
java.version,sysinfo,,,"1.6.0_25",1439714177126
java.vm.info,sysinfo,,,"mixed mode",1439714177126
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1439714177126
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1439714177126
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1439714177126
java.vm.specification.version,sysinfo,,,"1.0",1439714177126
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1439714177126
java.vm.version,sysinfo,,,"20.0-b11",1439714177126
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439714186064
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439714199730
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439714228824
